About|Tungkol|Tentang|Giới thiệu|เกี่ยวกับ|Acerca de|Sobre|À propos|Über|О программе
Units are listed from highest 1-in chance to lowest.|Nakaayos ang units mula pinakamataas na 1-in chance pababa.|Unit diurutkan dari peluang 1-in tertinggi ke terendah.|Unit được xếp từ cơ hội 1-in cao nhất xuống thấp nhất.|เรียงยูนิตจากค่าโอกาส 1-in สูงสุดไปต่ำสุด|Las unidades se ordenan de mayor a menor probabilidad 1-in.|As unidades são listadas da maior para a menor chance 1-in.|Les unités sont classées de la probabilité 1-in la plus élevée à la plus faible.|Einheiten werden von der höchsten zur niedrigsten 1-in-Chance sortiert.|Юниты отсортированы от самого высокого шанса 1-in к самому низкому.
Select multiple units and multiple acceptable Traits.|Pumili ng maraming units at maraming katanggap-tanggap na Traits.|Pilih beberapa unit dan beberapa Trait yang diterima.|Chọn nhiều Unit và nhiều Trait chấp nhận được.|เลือกหลายยูนิตและหลาย Trait ที่ยอมรับได้|Selecciona varias unidades y varios Traits aceptables.|Selecione várias unidades e vários Traits aceitáveis.|Sélectionnez plusieurs unités et plusieurs Traits acceptés.|Mehrere Einheiten und mehrere akzeptierte Traits auswählen.|Выберите несколько юнитов и допустимых Traits.
Select multiple units and multiple acceptable Grades.|Pumili ng maraming units at maraming katanggap-tanggap na Grades.|Pilih beberapa unit dan beberapa Grade yang diterima.|Chọn nhiều Unit và nhiều Grade chấp nhận được.|เลือกหลายยูนิตและหลาย Grade ที่ยอมรับได้|Selecciona varias unidades y varios Grades aceptables.|Selecione várias unidades e vários Grades aceitáveis.|Sélectionnez plusieurs unités et plusieurs Grades acceptés.|Mehrere Einheiten und mehrere akzeptierte Grades auswählen.|Выберите несколько юнитов и допустимых Grades.
All config-listed choices are shown even when not currently owned.|Ipinapakita ang lahat ng choices sa config kahit hindi pa pag-aari.|Semua pilihan di config tetap ditampilkan meski belum dimiliki.|Hiển thị mọi lựa chọn trong config dù hiện chưa sở hữu.|แสดงตัวเลือกทั้งหมดจาก config แม้ยังไม่ได้เป็นเจ้าของ|Se muestran todas las opciones del config aunque no se posean.|Todas as opções do config aparecem mesmo sem serem possuídas.|Toutes les options du config sont affichées même si elles ne sont pas possédées.|Alle Config-Optionen werden angezeigt, auch wenn sie nicht im Besitz sind.|Показываются все варианты из config, даже если их сейчас нет.
Automatically handles Dice using the player's money and owned Dice.|Awtomatikong pinapamahalaan ang Dice gamit ang pera ng player at owned Dice.|Mengelola Dice otomatis memakai uang pemain dan Dice yang dimiliki.|Tự động xử lý Dice bằng tiền và Dice người chơi sở hữu.|จัดการ Dice อัตโนมัติโดยใช้เงินและ Dice ที่ผู้เล่นมี|Gestiona Dice automáticamente usando el dinero y los Dice del jugador.|Gerencia Dice automaticamente usando o dinheiro e os Dice do jogador.|Gère automatiquement les Dice avec l’argent et les Dice possédés.|Verwaltet Dice automatisch mit Geld und vorhandenen Dice.|Автоматически управляет Dice, используя деньги и имеющиеся Dice.
Automatically buys the highest-luck unowned Dice currently affordable.|Awtomatikong binibili ang pinakamataas na luck na Dice na wala pa at kayang bilhin.|Otomatis membeli Dice yang belum dimiliki dengan Luck tertinggi yang terjangkau.|Tự động mua Dice chưa sở hữu có Luck cao nhất đang đủ tiền.|ซื้อ Dice ที่ยังไม่มีซึ่งมี Luck สูงสุดและจ่ายไหวโดยอัตโนมัติ|Compra automáticamente el Dice no poseído con mayor Luck que puedas pagar.|Compra automaticamente o Dice não possuído com maior Luck que possa pagar.|Achète automatiquement le Dice non possédé avec le meilleur Luck abordable.|Kauft automatisch das nicht besessene Dice mit dem höchsten bezahlbaren Luck.|Автоматически покупает доступный Dice с наибольшим Luck, которого ещё нет.
Automatically equips the highest-luck Dice already owned.|Awtomatikong ine-equip ang owned Dice na may pinakamataas na luck.|Otomatis memakai Dice milikmu dengan Luck tertinggi.|Tự động trang bị Dice đang sở hữu có Luck cao nhất.|สวม Dice ที่มี Luck สูงสุดซึ่งเป็นเจ้าของอยู่โดยอัตโนมัติ|Equipa automáticamente el Dice poseído con mayor Luck.|Equipa automaticamente o Dice possuído com maior Luck.|Équipe automatiquement le Dice possédé avec le meilleur Luck.|Rüstet automatisch das vorhandene Dice mit dem höchsten Luck aus.|Автоматически экипирует имеющийся Dice с наибольшим Luck.
Seconds between spin-use checks.|Segundo sa pagitan ng spin-use checks.|Detik antar pemeriksaan penggunaan Spin.|Số giây giữa các lần kiểm tra dùng Spin.|วินาทีระหว่างการตรวจใช้ Spin|Segundos entre comprobaciones de uso de giros.|Segundos entre verificações de uso de giros.|Secondes entre les vérifications d’utilisation des tours.|Sekunden zwischen Spin-Nutzungsprüfungen.|Секунды между проверками использования Spins.
Selected boosts are used only after their boost category is no longer active.|Gagamitin lang ang napiling boosts kapag hindi na active ang kanilang boost category.|Boost terpilih hanya digunakan setelah kategorinya tidak aktif lagi.|Boost đã chọn chỉ được dùng khi nhóm boost đó không còn hoạt động.|ใช้ Boost ที่เลือกเมื่อหมวด Boost นั้นไม่ทำงานแล้วเท่านั้น|Los boosts seleccionados solo se usan cuando su categoría deja de estar activa.|Os boosts selecionados só são usados quando a categoria deixa de estar ativa.|Les boosts sélectionnés ne sont utilisés que lorsque leur catégorie n’est plus active.|Ausgewählte Boosts werden erst genutzt, wenn ihre Kategorie nicht mehr aktiv ist.|Выбранные Boosts используются только когда их категория больше не активна.
This checks expiry; it does not consume another boost two minutes early.|Sinusuri nito ang expiry; hindi ito gagamit ng panibagong boost nang dalawang minuto nang maaga.|Ini memeriksa waktu habis; tidak memakai boost baru dua menit lebih awal.|Hệ thống kiểm tra thời hạn; không dùng Boost mới sớm hơn hai phút.|ระบบตรวจเวลาหมดอายุและจะไม่ใช้ Boost ใหม่ก่อนสองนาที|Comprueba la expiración; no consume otro boost dos minutos antes.|Verifica a expiração; não usa outro boost dois minutos antes.|Vérifie l’expiration ; ne consomme pas un autre boost deux minutes trop tôt.|Prüft den Ablauf; verbraucht nicht zwei Minuten zu früh einen weiteren Boost.|Проверяет срок действия и не расходует новый Boost на две минуты раньше.
Claims and non-Robux Quest Shop automation.|Awtomasyon para sa claims at non-Robux Quest Shop.|Otomatisasi klaim dan Quest Shop non-Robux.|Tự động nhận thưởng và Quest Shop không dùng Robux.|ระบบรับรางวัลและ Quest Shop ที่ไม่ใช้ Robux อัตโนมัติ|Automatización de reclamaciones y Quest Shop sin Robux.|Automação de resgates e Quest Shop sem Robux.|Automatisation des récompenses et du Quest Shop sans Robux.|Automatisierung für Belohnungen und Quest Shop ohne Robux.|Автоматизация наград и Quest Shop без Robux.
Shows every non-Robux Quest Shop item whether affordable or not. Ticket cost is shown in the list.|Ipinapakita lahat ng non-Robux Quest Shop items kahit kaya o hindi; kasama ang Ticket cost.|Menampilkan semua item Quest Shop non-Robux, terjangkau atau tidak. Biaya Ticket ditampilkan.|Hiển thị mọi vật phẩm Quest Shop không dùng Robux dù đủ tiền hay không. Giá Ticket có trong danh sách.|แสดงไอเท็ม Quest Shop ที่ไม่ใช้ Robux ทั้งหมดไม่ว่าจะซื้อไหวหรือไม่ พร้อมราคา Ticket|Muestra todos los objetos del Quest Shop sin Robux, puedas pagarlos o no. Se muestra el coste en Tickets.|Mostra todos os itens do Quest Shop sem Robux, podendo pagar ou não. O custo em Tickets aparece na lista.|Affiche tous les objets du Quest Shop sans Robux, abordables ou non. Le coût en Tickets est indiqué.|Zeigt alle Quest-Shop-Gegenstände ohne Robux, bezahlbar oder nicht. Ticketkosten werden angezeigt.|Показывает все предметы Quest Shop без Robux независимо от цены. Стоимость в Tickets указана в списке.
Auto Tower always uses the fastest bounded server-accepted timing.|Laging ginagamit ng Auto Tower ang pinakamabilis na bounded timing na tanggap ng server.|Auto Tower selalu memakai timing terbatas tercepat yang diterima server.|Auto Tower luôn dùng timing nhanh nhất trong giới hạn server chấp nhận.|Auto Tower ใช้ timing ที่เร็วที่สุดภายในขอบเขตที่เซิร์ฟเวอร์ยอมรับเสมอ|Auto Tower usa siempre el timing limitado más rápido aceptado por el servidor.|Auto Tower sempre usa o timing limitado mais rápido aceito pelo servidor.|Auto Tower utilise toujours le timing borné le plus rapide accepté par le serveur.|Auto Tower nutzt immer das schnellste serverakzeptierte Timing innerhalb der Grenzen.|Auto Tower всегда использует самый быстрый допустимый сервером timing.
Tower-only status. Global live status remains removed.|Status para sa Tower lang. Nananatiling wala ang global live status.|Status hanya untuk Tower. Status live global tetap dihapus.|Chỉ trạng thái Tower. Trạng thái live toàn cục vẫn bị loại bỏ.|สถานะเฉพาะ Tower ส่วนสถานะ live รวมยังคงถูกปิด|Estado solo de Tower. El estado global en vivo sigue eliminado.|Status apenas da Tower. O status live global continua removido.|Statut réservé à la Tower. Le statut live global reste supprimé.|Nur Tower-Status. Der globale Live-Status bleibt entfernt.|Статус только для Tower. Общий live-статус по-прежнему отключён.
0 = no /s cap • 40m = sell only units at or below $40m/s|0 = walang /s cap • 40m = ibenta lang ang units na $40m/s o mas mababa|0 = tanpa batas /s • 40m = jual hanya unit $40m/s atau lebih rendah|0 = không giới hạn /s • 40m = chỉ bán Unit có $40m/s trở xuống|0 = ไม่จำกัด /s • 40m = ขายเฉพาะยูนิตที่ $40m/s หรือต่ำกว่า|0 = sin límite de /s • 40m = vender solo unidades de $40m/s o menos|0 = sem limite de /s • 40m = vender apenas unidades de $40m/s ou menos|0 = aucun plafond /s • 40m = vendre uniquement les unités à $40m/s ou moins|0 = kein /s-Limit • 40m = nur Einheiten mit höchstens $40m/s verkaufen|0 = без лимита /s • 40m = продавать только юниты с $40m/s или ниже
Any Rarity|Kahit Anong Rarity|Rarity Apa Saja|Bất kỳ Rarity nào|Rarity ใดก็ได้|Cualquier rareza|Qualquer raridade|N’importe quelle rareté|Beliebige Seltenheit|Любая редкость
Any Size|Kahit Anong Size|Ukuran Apa Saja|Bất kỳ kích cỡ nào|ขนาดใดก็ได้|Cualquier tamaño|Qualquer tamanho|N’importe quelle taille|Beliebige Größe|Любой размер
matched|tumugma|cocok|khớp|ตรง|coincidentes|correspondentes|correspondants|passend|совпало
sellable|maibebenta|bisa dijual|có thể bán|ขายได้|vendibles|vendáveis|vendables|verkaufbar|можно продать
locked|naka-lock|terkunci|đã khóa|ล็อกอยู่|bloqueadas|bloqueadas|verrouillées|gesperrt|заблокировано
base|base|base|base|base|base|base|base|Basis|база
tower|tower|tower|tower|tower|torre|torre|tour|Turm|башня
above /s max|lampas sa /s max|di atas /s maks|vượt /s tối đa|เกิน /s สูงสุด|por encima del máximo /s|acima do máximo /s|au-dessus du max /s|über /s-Maximum|выше максимума /s
income unknown|hindi alam ang income|pendapatan tidak diketahui|không rõ thu nhập|ไม่ทราบรายได้|ingreso desconocido|renda desconhecida|revenu inconnu|Einkommen unbekannt|доход неизвестен
Inventory unavailable|Hindi available ang inventory|Inventory tidak tersedia|Inventory không khả dụng|Inventory ใช้งานไม่ได้|Inventario no disponible|Inventário indisponível|Inventaire indisponible|Inventar nicht verfügbar|Инвентарь недоступен
Select rarity or size|Pumili ng rarity o size|Pilih rarity atau ukuran|Chọn rarity hoặc kích cỡ|เลือก rarity หรือขนาด|Selecciona rareza o tamaño|Selecione raridade ou tamanho|Sélectionnez une rareté ou une taille|Seltenheit oder Größe wählen|Выберите редкость или размер
